event,division,age_group,team,result_id,total,runs,stations,roxzone_derived,SkiErg,Sled_Push,Sled_Pull,Burpee_Broad_Jump,Row,Farmers_Carry,Sandbag_Lunges,Wall_Balls,run1,run2,run3,run4,run5,run6,run7,run8,rox_in_1,rox_in_2,rox_in_3,rox_in_4,rox_in_5,rox_in_6,rox_in_7,rox_out_1,rox_out_2,rox_out_3,rox_out_4,rox_out_5,rox_out_6,rox_out_7
Toronto 2024,Doubles Men (open),40-49,Trevor Atkinson / Don Cameron,JGDMS4JI183F72,1:05:08,36:38,22:42,5:48,3:46,1:26,3:13,2:02,4:12,1:46,2:30,3:47,4:30,4:08,4:32,4:25,4:35,4:29,4:46,5:13,0:02,0:09,0:16,0:34,0:37,0:48,0:44,0:32,0:38,0:35,0:14,0:25,0:13,0:06
Toronto 2024,Doubles Men (open),40-49,Kyle Jackson / Nick Reddekopp,JGDMS4JI184A4D,1:05:43,37:26,22:31,5:46,3:43,1:22,2:30,2:34,4:16,1:23,2:45,3:58,4:50,4:29,4:30,4:33,4:39,4:35,4:38,5:13,0:02,0:09,0:15,0:25,0:31,0:39,0:45,0:39,0:43,0:39,0:15,0:27,0:15,0:05
Toronto 2024,Doubles Men (open),40-49,Marc-André Lebel / Alain Beaurivage,JGDMS4JI18483C,1:05:56,35:37,24:13,6:06,3:42,1:25,2:39,3:01,4:26,1:33,3:37,3:50,4:44,4:09,4:18,4:19,4:22,4:22,4:29,4:54,0:03,0:09,0:16,0:27,0:31,0:40,0:47,0:39,0:42,0:52,0:13,0:28,0:17,0:03
Toronto 2024,Doubles Men (open),40-49,Jean-Francois Naud / Jagger Long,JGDMS4JI184657,1:06:13,36:34,23:38,6:01,3:57,1:26,2:29,3:01,4:17,1:21,3:05,4:02,4:55,4:13,4:23,4:34,4:30,4:22,4:29,5:06,0:03,0:10,0:16,0:32,0:31,0:43,0:45,0:36,0:43,0:45,0:20,0:25,0:12,0:06
Toronto 2024,Doubles Men (open),40-49,Jay Frain / Michael Dalfonso,JGDMS4JI1840EE,1:06:17,36:56,22:49,6:32,3:57,1:31,2:28,2:21,4:22,1:22,3:05,3:43,5:04,4:13,4:35,4:38,4:33,4:34,4:34,4:44,0:03,0:10,0:17,0:27,0:31,0:38,0:50,0:46,0:47,0:48,0:24,0:42,0:12,0:04
Toronto 2024,Doubles Men (open),40-49,Ben Cheft,JGDMS4JI18BED7,1:06:56,34:16,26:15,6:25,4:03,1:49,3:12,2:50,4:40,1:54,3:15,4:32,4:52,4:04,4:07,4:08,4:18,4:09,4:01,4:38,0:03,0:09,0:15,0:28,0:35,0:38,0:45,0:45,0:46,0:43,0:13,0:43,0:21,0:04
Toronto 2024,Doubles Men (open),40-49,Warren Sheridan / Chris Mace,JGDMS4JI184436,1:07:24,35:15,25:43,6:26,4:09,1:44,3:52,2:26,4:35,1:33,3:37,3:47,4:43,4:07,4:11,4:17,4:15,4:20,4:19,5:01,0:03,0:10,0:17,0:25,0:30,0:39,0:46,0:39,0:45,0:41,0:27,0:35,0:30,0:06
Toronto 2024,Doubles Men (open),40-49,Zak Goldman / Matthew Tilley,JGDMS4JI1849B7,1:08:18,37:21,23:54,7:03,3:32,1:25,2:49,3:02,4:29,1:21,3:29,3:47,4:24,4:05,4:32,4:41,4:55,4:40,4:43,5:21,0:01,0:09,0:15,0:39,0:32,0:42,0:47,0:39,0:46,0:53,0:42,0:25,0:30,0:04
Toronto 2024,Doubles Men (open),50-59,James Caroland / Paul Kaup,JGDMS4JI184C75,1:08:19,37:43,24:16,6:20,3:59,1:28,2:51,2:39,4:25,1:29,3:18,4:07,4:38,4:15,4:45,4:40,4:38,4:41,4:42,5:25,0:02,0:11,0:17,0:25,0:28,0:43,0:45,0:39,0:45,0:45,0:32,0:32,0:15,0:04
Toronto 2024,Doubles Men (open),50-59,Johnny Garcia / Harold Varah,JGDMS4JI184CDB,1:10:08,39:03,24:34,6:31,4:02,1:44,3:21,2:16,4:32,1:31,3:24,3:44,5:09,4:26,4:48,4:44,4:47,4:48,4:59,5:22,0:02,0:11,0:15,0:27,0:32,0:47,0:47,0:41,0:48,0:42,0:32,0:31,0:16,0:05
